Year	Month	Day	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
2015	3	8	65965	65648	65347	65205	65393	65837	66130	66654	66984	67327	68014	67959	67438	67099	66593	66645	66591	66691	67886	68912	67069	66405	66222	66057
2015	3	9	66023	65814	65499	65449	65653	66016	66184	66890	67856	68105	68310	68653	68165	68124	67504	67214	66793	67046	68477	69837	67873	66689	66413	66056
2015	3	10	65992	65859	65469	65343	65417	65905	66127	66642	67229	67600	67818	67823	67306	66759	66462	66232	66185	66256	66632	66666	66199	66060	66049	65506
2015	3	11	63779	62561	61645	61489	61569	61367	60923	61446	63515	64963	65528	65758	65641	65179	64647	64321	64398	65059	65889	65976	64894	63947	63921	62403
2015	3	12	61451	60372	59463	59159	59023	58648	57300	57382	59535	60881	61849	63338	63538	62326	61528	61300	61198	62154	64370	65214	64054	63269	63454	62118
2015	3	13	61372	60716	60814	60946	61687	63247	65936	66206	66517	66621	66644	66824	66789	66887	66795	66748	66593	66639	67524	67983	66594	66199	66059	65533
2015	3	14	64621	63794	63608	63714	64324	64981	65988	66301	66698	66689	66759	66906	66778	66689	66622	66602	66442	66568	67011	67845	66633	66228	66064	65892
2015	3	15	65000	64440	63997	64056	64468	65163	66045	66316	66642	66605	66596	66633	66308	66223	66192	66185	66131	66226	66694	67477	66563	66085	66050	64736
2015	3	16	62985	62299	62114	62414	63112	64357	66023	66180	66263	66253	66220	66243	66210	66177	66072	66063	66079	66214	66635	67121	66337	66054	65898	64128
2015	3	17	61919	60915	60848	60927	61444	62794	65344	66068	66223	66272	66264	66243	66166	66080	66069	66032	66049	66053	66125	66405	66052	65798	64969	62500
2015	3	18	60394	59564	59102	59607	59944	60031	59909	60782	62489	63850	64396	64530	63873	62890	61956	62023	62038	63175	64602	65196	63580	62059	61523	60033
2015	3	19	58115	55623	53610	54003	55688	55710	54389	54823	57634	59358	60488	61503	61443	60438	59462	58877	58940	60335	62448	64351	63078	62013	61915	60138
2015	3	20	58659	58059	58441	58930	60336	62043	65371	66082	66265	66261	66346	66572	66410	66297	66190	65996	66063	66125	66407	67093	66447	66044	65929	63997
2015	3	21	62316	61427	61049	61181	61803	63096	65545	66049	66227	66120	66052	66040	66064	66045	66007	66071	66009	66040	66191	66878	66404	66064	66023	64357
2015	3	22	62396	61330	61182	61452	62167	63358	65481	66047	66108	66128	66066	66109	66051	66069	65992	66056	66010	66004	66082	66502	66129	66028	64908	62318
2015	3	23	60633	60435	60133	60376	61048	62320	65113	65986	66086	66087	66142	66223	66122	66059	66057	66087	66043	66050	66189	66599	66207	66006	64961	62161
2015	3	24	60775	60136	59720	60076	60791	62068	64864	66007	66118	66145	66186	66198	66188	66124	66060	66049	66065	66055	66071	66165	66066	65115	63659	61291
2015	3	25	59669	58277	58008	58651	59401	59355	59166	59942	61153	62079	62496	63087	62576	61954	61299	60960	60973	62051	63704	65098	63456	61660	60930	59112
2015	3	26	56412	54141	54139	54244	55256	55300	54416	53957	55834	58008	59436	60685	60852	59948	59013	58476	58395	59165	60590	61528	62822	62000	61612	60223
2015	3	27	57911	56799	56993	57496	58891	60243	63716	66009	66127	66219	66330	66418	66264	66185	66062	66045	66014	66014	66013	66046	66219	66061	65800	63671
2015	3	28	61526	60658	60285	60405	61127	62238	64910	65989	66065	66069	66074	66072	66078	65993	66062	66011	65889	65904	66009	65995	66034	65798	64717	62283
2015	3	29	60656	59934	59628	59941	60624	61445	64380	66012	66078	66070	66053	66110	66056	66038	66059	66060	66016	66011	66045	66049	66124	66052	65268	62903
2015	3	30	62012	61295	60905	61145	61914	63077	65492	66060	66173	66224	66524	66616	66416	66244	66199	66127	66076	65989	65985	66037	66010	65586	64657	62239
2015	3	31	60448	59730	59569	59514	59330	58567	56024	55328	56974	58269	59028	60004	59856	58658	56557	55992	55935	57724	59579	60517	61768	61150	60793	59042
2015	4	1	56959	55588	55234	55020	55994	56692	56523	57652	59789	60708	60916	61196	60927	60403	60241	60217	60339	60724	61421	61847	62288	61498	60989	59139
2015	4	2	55978	53305	52483	52733	53179	53078	52413	52497	55735	57630	58904	59932	59042	57118	56054	55292	55025	56557	58531	59329	60085	59954	59789	57389
2015	4	3	54692	53516	52985	52618	53535	53514	52726	53414	55879	58276	59363	59969	59626	58616	57127	56091	55626	57187	59024	59891	61013	60957	60780	59022
2015	4	4	56647	55926	56443	56953	58458	60233	63634	65863	66039	66016	65994	66048	66054	65928	65578	65321	64859	65150	65654	65965	65981	66020	65182	62846
2015	4	5	61040	60436	59941	59946	60532	61385	64902	66068	66079	66057	66045	66065	65981	66006	65730	65641	65531	65652	65925	66051	66057	66070	65085	62404
2015	4	6	60339	60005	59792	59937	60579	61801	64965	66068	66042	66078	66125	66176	66071	66072	65994	66040	66013	66006	66006	66059	66061	65989	65482	63093
2015	4	7	61158	60340	60405	60576	61144	62164	64972	65992	66121	66181	66199	66199	66098	66069	66070	66014	65895	65935	66020	66031	66030	65798	64774	62302
2015	4	8	60352	59466	58795	59239	59668	59567	59021	59896	61526	63010	63376	63796	63016	62016	61443	61329	61141	61852	62567	62894	62769	61996	61385	59610
2015	4	9	57494	55935	55570	56242	57011	56857	55684	55593	57449	59168	60451	61599	61163	60232	59277	58741	58504	59587	60684	61303	62312	62455	62362	60599
2015	4	10	59399	58831	58524	59164	60177	61479	65452	66080	66253	66254	66451	66582	66317	66233	66168	66128	66041	66078	66079	66061	66074	66046	65766	63606
2015	4	11	61505	60359	60082	60412	61146	62681	65747	66086	66223	66220	66243	66257	66222	66195	66118	66072	66067	66056	66082	66053	66065	66047	65657	63077
2015	4	12	60966	60372	60034	60388	60907	62239	65758	66073	66200	66196	66250	66348	66296	66228	66204	66119	66069	66076	66052	66058	66086	66053	65651	63458
2015	4	13	60987	60236	60068	60337	60749	62038	65672	66082	66207	66205	66198	66260	66262	66224	66094	66045	65989	65992	66080	66036	66043	65989	65488	62560
2015	4	14	60595	59935	59951	60284	60986	62555	65553	66049	66217	66222	66243	66227	66123	66062	65988	65975	65803	65922	66025	66022	66026	65868	65235	62822
2015	4	15	60606	59493	59240	59875	60078	59910	58979	59940	61408	62145	62162	61979	61295	60471	59949	59631	59471	60283	61302	61651	61849	61740	61194	59468
2015	4	16	56993	54559	53050	53973	55264	55592	54133	54551	56099	57424	58599	59608	58541	56102	54147	53534	53762	56479	59235	60336	61142	61599	61193	59237
2015	4	17	56780	55024	55591	56754	58398	60498	64649	66057	66047	65984	65983	66040	66002	66069	65933	65730	65404	65481	65901	66011	66008	65936	64578	61372
2015	4	18	59951	59144	59025	59622	60310	61572	64977	66007	66057	66041	66046	66065	66056	66057	65999	65996	66018	66015	65989	66045	66001	66013	64913	62335
2015	4	19	60405	59881	59931	60351	60823	61874	65414	66066	66186	66205	66189	66226	66189	66206	66089	66073	66076	66036	66077	66068	65990	66054	65443	62669
2015	4	20	60900	59951	59938	60326	60908	62209	65254	66008	66043	66077	66051	66071	66074	65987	66006	65903	65537	65736	66025	66066	66012	65979	64936	62132
2015	4	21	60333	59322	59138	59461	60343	61958	64913	66053	66047	65991	66033	66066	65894	65374	64769	64313	64130	64671	65181	65411	65331	65326	63886	61205
2015	4	22	59114	57792	57264	57183	57495	57739	57896	59359	60774	61462	61515	61408	60629	59384	58007	57692	57661	59081	60337	60793	60892	61227	60550	58246
2015	4	23	55733	53611	52460	53070	53498	53891	52687	53058	54844	56979	57224	58363	57401	54882	52936	53512	54264	56746	59109	59946	60654	61372	60896	59023
2015	4	24	57119	55371	55385	55923	57053	59633	63459	66024	66047	66124	66200	66272	66203	66109	66071	66056	66059	65992	66039	66000	66006	65974	64774	61918
2015	4	25	60532	59918	59501	59669	60376	61909	64921	65982	66082	66072	66070	66045	66055	66078	65982	66060	65807	65804	65930	66024	65989	65924	64466	61376
2015	4	26	60100	59321	59108	59138	60092	61847	64865	66059	66062	65988	66004	66063	66012	66051	65901	65737	65485	65648	65932	66014	65974	65712	64221	61289
2015	4	27	59719	58894	58146	58361	59171	60887	64295	66025	65996	66038	65987	66029	65992	66018	65948	65897	65803	65901	66027	66065	66020	65976	64646	61461
2015	4	28	59722	59218	58740	58809	59569	61208	64887	66047	66075	66188	66276	66418	66214	66041	65999	66028	65957	66030	65888	65576	64893	64166	62240	59989
2015	4	29	57247	55100	54056	53357	53565	53051	51022	52920	55578	57540	58879	60178	59905	58832	57971	57184	57485	58131	59040	59081	58632	59216	58305	54999
2015	4	30	51562	49155	48030	48626	49376	50094	49927	52837	55880	58084	59364	60782	60396	59287	58303	58056	58512	59581	60434	60671	60702	60896	60382	58010
2015	5	1	55696	55317	54580	55432	57263	59602	63461	66008	66061	66133	66223	66413	66345	66268	66219	66127	66085	66085	66061	66049	66065	65895	64455	61378
2015	5	2	59934	59360	58916	59236	60334	61325	64860	66042	66199	66231	66313	66531	66332	66208	66142	66057	66054	66051	66049	66049	65888	65809	64542	61833
2015	5	3	60427	60018	59564	59894	60628	61406	64704	66003	66170	66143	66204	66257	66199	66124	66037	66061	65986	66030	65981	65986	66017	65936	65352	62932
2015	5	4	61113	60592	60337	60376	61015	62406	65624	66127	66485	66627	66897	67443	67421	67172	66761	66596	66267	66226	66250	66197	66062	65987	65499	63267
2015	5	5	61429	60784	60433	60595	60976	61921	64997	66075	66222	66253	66527	66611	66406	66198	66057	66067	66049	66028	66054	66021	65672	65442	64282	61636
2015	5	6	59953	58959	58069	58347	58740	58657	58889	60080	61468	62810	63377	64298	63795	62497	61146	60824	60665	60976	61418	61505	61106	61381	60899	59145
2015	5	7	56994	54661	54055	53763	54262	54267	52597	53488	56781	58354	59363	60335	59889	58375	57084	56340	56402	58027	59827	60335	60547	61222	61142	59168
2015	5	8	57354	56560	56324	56849	58520	60091	63917	66069	66128	66220	66262	66465	66465	66327	66168	66054	65986	65988	66053	66062	66004	65902	64861	62024
2015	5	9	60413	59599	59213	59409	60342	61391	64741	66010	66059	66117	66193	66265	66180	66060	66040	66050	66063	66081	66076	66079	65988	66053	65492	62977
2015	5	10	60865	60393	60017	60320	60903	61735	65184	66051	66260	66275	66349	66588	66408	66272	66233	66142	66044	66061	66076	65995	66026	65840	64517	61303
2015	5	11	59084	57186	55882	56294	57051	55981	53672	54718	57497	59720	60725	61832	61527	60709	59956	59518	59378	59949	60554	60661	60532	60761	60535	58436
2015	5	12	56374	55362	54998	55342	56799	57542	60171	62845	64913	65629	65841	66012	66018	65731	65299	64980	64702	64943	65095	64863	63916	63692	62410	60177
2015	5	13	57964	56631	56265	55922	56631	56800	57776	59620	61635	63582	64417	64963	64886	63988	63020	62405	62221	62850	63447	63338	62166	62040	61504	59587
2015	5	14	56993	55596	55419	56240	56633	55862	54469	55700	57570	59356	60425	61609	61527	60925	60344	59764	59612	60155	60733	60708	60246	60783	61295	59271
2015	5	15	56888	56493	56449	56992	58245	59785	63434	66029	66083	66048	66077	66191	66186	66202	66075	66051	66000	66009	65989	65994	66025	65906	65165	62040
2015	5	16	60013	59398	59383	59666	60500	61450	64690	66007	66072	66120	66216	66441	66336	66285	66225	66065	66062	66049	66042	65986	66010	65999	65482	63261
2015	5	17	61294	60898	60761	61053	61468	62384	65403	66058	66235	66313	66587	66768	66661	66596	66273	66199	66064	66071	66082	66050	66066	65937	65197	62452
2015	5	18	60596	59946	59638	59879	60339	61168	64739	66068	66229	66217	66255	66528	66452	66275	66188	66122	66077	66074	66065	65980	65971	65709	65027	62165
2015	5	19	60245	59411	59332	59720	60339	61139	64308	66057	66062	66071	66086	66117	66051	65985	66007	65749	65464	65505	65510	65450	64789	64364	63358	60898
2015	5	20	58945	57186	56297	56768	57274	56925	57050	59133	60809	61622	61931	62042	61228	60270	59147	58541	58440	59405	60278	60424	59787	59626	59366	56580
2015	5	21	53727	52226	51358	50697	50557	49710	49170	50509	53667	54814	55754	57208	56181	54091	52536	51769	52324	54915	56943	57666	57423	57976	58280	55624
2015	5	22	52008	49994	49560	49592	50108	49731	49915	51388	53215	54669	56103	57668	57328	55860	54724	54278	55025	57195	58380	59186	59069	59512	59896	57504
2015	5	23	54544	53282	53599	53868	55280	57354	61447	65290	66052	65979	66075	66088	66073	66041	66058	65988	66013	66027	66009	65946	65348	64915	63906	61247
2015	5	24	59247	58639	58146	58164	58955	60178	63618	66018	66073	66133	66188	66333	66223	66183	66084	66088	66000	65986	66064	65996	65888	65499	64085	60908
2015	5	25	59622	59144	58675	58930	59548	60592	64132	66062	66086	66201	66199	66274	66226	66123	66066	66035	66014	66033	66069	66056	65805	65466	64145	61139
2015	5	26	59544	59138	58603	58764	59584	60393	63545	65972	66049	66076	66061	66120	66043	66010	66026	65896	65566	65662	65664	65506	64615	63710	63043	60765
2015	5	27	58765	57456	56904	57356	57791	57559	57535	59112	60733	61598	62022	62235	61301	60333	59490	59142	59167	59975	60660	60886	60339	60142	59938	58125
2015	5	28	56204	53905	52966	52423	52157	51541	51961	52983	55298	57406	59111	60449	60338	59367	58474	58028	58064	59165	60331	60622	60333	60656	60672	58870
2015	5	29	56430	55358	55924	56629	58062	59629	63335	65805	66059	66080	66187	66299	66235	66190	66117	66071	66061	66073	66073	65987	65912	65459	64448	61934
2015	5	30	62015	60928	60657	60879	61444	62236	65498	66162	66496	66608	66651	66781	66608	66420	66277	66239	66169	66229	66210	66168	66062	66069	65531	63101
2015	5	31	61444	60575	60077	60194	60825	62324	65576	66130	66519	66627	66764	67179	66969	66768	66593	66516	66256	66229	66198	66124	65985	65905	65431	63694
2015	6	1	61543	60671	60155	60088	60261	59941	60210	61296	62838	63866	64927	65579	65493	64899	64109	63357	62862	63346	63889	63891	63457	63065	63145	60976
2015	6	2	59562	58094	57184	57181	58396	59933	62473	65349	66031	66069	66035	66046	65989	66014	65669	65365	65202	65343	65428	65271	64413	63872	63593	61258
2015	6	3	59359	57611	56805	57092	56996	56809	58648	60392	62078	63377	64179	64360	63424	62148	61408	60945	60901	61282	61803	61800	60846	60596	60840	59188
2015	6	4	56855	54589	53387	52705	52404	51352	52665	55630	58078	59412	60311	60960	60724	59932	59162	59021	59331	60557	61741	62222	61801	61684	61980	59951
2015	6	5	58269	57726	56740	57102	58123	59951	64541	66039	66479	66884	67523	68534	68014	67582	66926	66653	66351	66192	66209	66084	66006	65819	65242	62591
2015	6	6	60816	60003	59608	59720	60337	61450	65395	66170	66525	66647	66709	67008	66757	66742	66647	66569	66259	66270	66229	66168	66059	66051	65609	63318
2015	6	7	61468	60486	59945	59953	60359	61626	65798	66223	66587	66656	66888	67285	67085	67065	66763	66601	66336	66254	66242	66229	66081	66061	65744	63613
2015	6	8	61632	60747	60339	60332	60725	62064	65903	66237	66692	66759	67054	67512	67175	67082	66860	66654	66512	66378	66277	66265	66065	66001	66010	64476
2015	6	9	62262	60977	60699	60829	61422	62423	65700	66185	66670	66911	67383	67835	67045	66767	66593	66539	66375	66378	66232	66148	65996	65973	65844	64050
2015	6	10	61757	60374	59583	59129	59042	58776	60115	61662	64147	65664	66060	66049	65958	65481	64573	63758	63455	63851	64220	63693	62228	61461	61430	59932
2015	6	11	57299	55925	55360	55195	55100	54066	54443	56782	59160	60708	61729	62893	62376	61370	60694	60177	60092	60710	61477	61470	60847	60614	61250	59832
2015	6	12	58065	57212	57214	57481	58553	59934	64542	66072	66227	66445	66597	66654	66582	66444	66262	66204	66057	66060	66080	66064	66048	65796	65198	62416
2015	6	13	60939	60375	59870	59937	60341	61052	65099	66079	66405	66610	66670	66736	66521	66409	66259	66156	66087	66083	66047	66056	66059	65672	65003	62738
2015	6	14	60900	60281	59919	59948	60339	61248	65215	66055	66223	66270	66435	66676	66595	66612	66423	66300	66205	66144	66117	66076	65996	65883	65384	63263
2015	6	15	61420	60785	60336	60412	60885	61634	65512	66132	66426	66528	66694	67093	66904	66759	66582	66517	66281	66268	66189	66140	66042	65934	65606	63334
2015	6	16	61246	60717	60656	60709	61031	61953	65467	66120	66437	66644	66744	67070	66740	66202	66035	66065	66068	66079	66083	66076	66016	65505	64862	62371
2015	6	17	60489	59628	59548	59246	59209	59104	59627	60987	63445	65200	65751	65958	65732	65098	64519	63692	63376	63734	63954	63680	62147	61192	60989	59237
2015	6	18	56846	54958	53964	54724	54561	53609	54078	55351	58009	60006	61197	62803	62723	61517	60593	60242	60335	60785	61800	61845	61416	61261	61662	59930
2015	6	19	58633	58010	57756	57930	59309	60735	65056	66063	66331	66443	66604	66892	66791	66635	66418	66242	66178	66121	66084	66052	66047	65790	65328	62592
2015	6	20	60593	59938	59824	60249	60662	61421	65440	66121	66311	66248	66406	66641	66665	66632	66407	66265	66179	66119	66066	66055	66042	65890	65449	63021
2015	6	21	61147	60594	60123	60133	60511	61360	65359	66086	66270	66228	66265	66630	66526	66297	66230	66206	66063	66090	66132	66039	65801	64896	64966	63455
2015	6	22	61378	60713	60263	60281	60710	61417	65119	66055	66177	66197	66380	66599	66490	66315	66246	66193	66128	66111	66166	66121	66058	66020	65669	63378
2015	6	23	61517	60603	60504	60605	60960	61668	65502	66100	66400	66425	66591	66646	66530	66298	66198	66127	66076	66070	66038	66048	65905	65278	64857	62620
2015	6	24	60728	59755	59586	59568	59407	59321	60014	61427	63757	64970	65222	65348	64629	63671	62569	62074	62035	62351	62824	62701	61493	60903	60986	59535
