Year	Month	Day	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
2014	5	2	12690	12503	12457	12343	12382	12179	12291	12474	12928	13371	13664	13816	13784	13652	13416	13374	13365	13502	13504	13703	13863	14271	14000	13264
2014	5	3	12852	13148	13276	13401	13600	14019	15609	16970	17239	17087	17048	16970	16806	16646	16506	16465	16195	16169	15962	15892	15868	16006	15413	14393
2014	5	4	13709	13413	13351	13413	13523	13915	15509	17047	17357	17261	17191	17126	17092	16873	16754	16770	16581	16559	16452	16429	16264	16506	15801	14760
2014	5	5	14131	13932	13894	13941	13967	14369	16047	17550	17823	17645	17629	17412	17302	17150	16931	16887	16506	16362	16141	15935	15904	16225	15623	14655
2014	5	6	14037	13863	13852	13943	13968	14275	15789	17179	17461	17350	17307	17195	16933	16728	16591	16514	16211	16053	15827	15842	15790	15976	15464	14458
2014	5	7	13785	13471	13401	13374	13420	13770	15492	17142	17570	17592	17534	17471	17124	16805	16458	16188	15866	15942	15742	15396	15089	15079	14677	13989
2014	5	8	13444	13220	13059	12974	12873	12741	13031	13692	14504	15145	15532	15667	15648	15577	15418	15330	15430	15505	15434	15283	15142	15140	14683	13975
2014	5	9	13519	13196	13057	13010	12989	12730	12961	13375	13960	14519	14892	14990	14929	14780	14546	14441	14474	14622	14803	14866	14820	14925	14520	13782
2014	5	10	13278	13044	12904	12967	12944	13371	15197	16955	17635	17729	17735	17739	17618	17468	17261	16999	16663	16574	16230	15970	15896	16087	15563	14567
2014	5	11	13996	13810	13748	13841	13880	14221	15738	17156	17494	17268	17218	17208	16947	16635	16502	16393	16076	16011	15733	15512	15507	15570	15237	14348
2014	5	12	13868	13596	13573	13721	13700	14036	15542	17101	17505	17530	17473	17482	17453	17264	17000	16847	16557	16611	16292	16079	15835	15658	15041	14068
2014	5	13	13248	12901	12757	12634	12598	12553	13082	13724	14375	15070	15468	15673	15620	15418	15290	15115	15038	15119	15148	14940	14747	14764	14292	13453
2014	5	14	12754	12373	12307	12241	12157	12269	13151	14433	15320	15735	15907	15807	15637	15443	15193	15014	14852	14880	14683	14390	14027	13962	13629	12903
