Year	Month	Day	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
2014	2	4	66233	65173	64714	64159	63970	65877	72100	79952	82083	82214	82606	82930	82203	81464	80305	79744	78866	82038	85771	83956	79722	76077	73723	68807
2014	2	5	65386	63991	63356	63591	64953	66634	72411	80487	82740	82544	83546	83987	83565	81783	79962	78743	78180	81772	83874	81467	76729	72780	71289	67065
2014	2	6	63309	60952	59085	58600	58174	57757	56499	59152	63145	67313	69479	70690	69786	67903	66371	65802	66073	69725	72972	70765	66326	63776	64316	61288
2014	2	7	57584	55361	54314	54437	54125	52858	49758	50568	53151	56724	59956	63351	63002	60413	58700	58157	58636	62780	68040	67356	65036	63574	64925	62096
2014	2	8	61143	59859	59159	58990	59163	61754	69975	78902	82008	82989	84098	85007	84537	83899	82423	81516	80084	82365	85924	84394	80401	76698	74912	70353
2014	2	9	67645	66187	65768	65092	65056	66824	72751	80510	83227	83928	83525	83426	84665	84453	83639	83079	81614	83796	86644	84809	81226	78424	76108	72028
2014	2	10	69212	67213	66254	65613	66177	67813	73451	80701	82969	83616	84821	85866	85732	85101	84255	83966	82447	84380	87648	86274	82190	79214	77392	73210
2014	2	11	70297	68520	66842	67209	67455	68677	74599	81351	83657	84703	86324	87312	87059	86656	85443	84270	82043	83729	87235	85957	81811	78450	77112	74656
2014	2	12	71156	68629	67885	66948	66881	67818	73027	79639	82127	83447	84288	85443	85389	83815	81810	80606	79556	81509	85699	83950	79202	75714	74557	71003
2014	2	13	68167	65650	63445	62556	61705	60401	58788	59811	63285	67493	70232	71718	71492	69533	67512	66812	66109	69225	74024	72162	68088	66103	66633	64684
2014	2	14	61379	59384	58386	57993	57135	55630	52319	52242	55006	58606	61993	65086	64355	61592	59654	58923	58764	61849	68361	68295	66145	65252	67054	64819
2014	2	15	62797	61976	61150	60516	60504	61863	65989	72848	76566	78941	80140	81298	80810	79717	78334	77481	76168	77756	82466	81611	78218	75497	74169	70120
2014	2	16	66815	65490	64969	64154	64762	65579	70835	77261	79528	80742	81521	82230	81060	79188	77172	76293	75685	78115	84008	83740	80047	76993	75582	71380
2014	2	17	69211	68356	66754	65853	66315	67359	72971	79592	81383	81941	82051	82907	82497	81700	81074	80607	79738	81653	86491	85167	80892	77626	75156	70783
2014	2	18	67456	65218	64148	63601	64613	65841	71977	79143	81367	82296	83731	84417	84020	82835	81441	80108	78492	80307	85182	84478	80293	76945	74546	70102
2014	2	19	66978	65385	64356	63988	64554	65362	71168	78767	81799	82506	83250	83676	82698	81079	79534	78557	77637	79767	83692	82383	77198	73710	72329	68183
2014	2	20	64696	63124	61674	61051	61631	60710	59273	61099	64578	67130	68466	69327	70136	68349	66529	65850	65502	68046	73953	73293	68903	66625	66394	63315
2014	2	21	60474	57590	56365	55841	55155	54650	52329	53219	54780	56797	59361	62064	61441	58998	57075	56412	56926	60576	68161	68376	66123	64893	65562	62378
2014	2	22	60128	58893	58812	58807	59840	61492	70022	77798	80652	81240	81735	82862	82355	81389	79976	78981	77695	79865	85864	85085	80709	77051	74641	70228
2014	2	23	66534	64989	64205	63976	64774	66212	73086	79690	81964	82080	82662	83664	83148	82708	81453	80759	79108	80226	84708	84116	79574	75682	73011	68265
2014	2	24	64374	62491	61855	61452	62188	64489	71622	78811	81068	80618	80812	81349	80606	79681	78192	77644	76581	78504	83935	83794	79776	75794	72648	67560
2014	2	25	62804	61554	61461	62084	63143	64875	71734	78308	80363	79648	80029	79710	79282	79028	77747	77517	76715	79023	83809	83176	79277	75557	72829	67379
2014	2	26	63278	60774	60303	60467	61201	62882	69052	75944	79051	79482	79521	79841	78986	77484	76152	75718	75099	76568	80923	80263	76538	73168	71200	67059
2014	2	27	64196	62029	62264	62520	62386	60867	60039	61167	64065	66255	66900	67038	66316	64649	61954	61680	61896	64059	70221	70508	66048	62829	62205	58930
2014	2	28	55121	51885	50545	51088	52321	52387	51165	51214	53995	57269	60309	62867	62326	60507	59407	59509	60762	63496	69544	71195	68573	67617	68432	65242
2014	3	1	60058	58808	58025	58409	59613	62321	69791	75992	77505	77283	77281	77907	77307	76873	76031	75640	75006	76720	81366	82596	78421	74955	72724	67990
