Pattern	S wind	N wind	G wind	S wind new	N wind new	G wind new
M01,D01,H01	5,74	2,80	16,20	5,74	2,80	16,20
M01,D01,H02	7,19	3,19	17,00	7,19	3,19	17,00
M01,D01,H03	8,64	3,58	17,80	8,64	3,58	17,80
M01,D01,H04	10,10	3,96	18,70	10,10	3,96	18,70
M01,D01,H05	11,50	4,35	19,50	11,50	4,35	19,50
M01,D01,H06	13,00	4,74	20,40	13,00	4,74	20,40
M01,D01,H07	14,40	5,13	21,20	14,40	5,13	21,20
M01,D01,H08	15,60	4,72	23,90	15,60	4,72	23,90
M01,D01,H09	16,70	4,32	26,50	16,70	4,32	26,50
M01,D01,H10	17,80	3,91	29,10	17,80	3,91	29,10
M01,D01,H11	19,00	3,50	31,80	19,00	3,50	31,80
M01,D01,H12	20,10	3,09	34,40	20,10	3,09	34,40
M01,D01,H13	21,20	2,69	37,00	21,20	2,69	37,00
M01,D01,H14	22,40	5,97	37,90	22,40	5,97	37,90
M01,D01,H15	23,50	9,24	38,80	23,50	9,24	38,80
M01,D01,H16	24,60	12,50	39,70	24,60	12,50	39,70
M01,D01,H17	25,70	15,80	40,60	25,70	15,80	40,60
M01,D01,H18	26,80	19,10	41,50	26,80	19,10	41,50
M01,D01,H19	28,00	22,40	42,40	28,00	22,40	42,40
M01,D01,H20	30,60	24,10	41,20	30,60	24,10	41,20
M01,D01,H21	33,30	25,80	40,10	33,30	25,80	40,10
M01,D01,H22	35,90	27,50	39,00	35,90	27,50	39,00
M01,D01,H23	38,60	29,20	37,80	38,60	29,20	37,80
M01,D01,H24	41,20	30,80	36,70	41,20	30,80	36,70
M01,D02,H01	43,90	32,50	35,60	43,90	32,50	35,60
M01,D02,H02	43,50	31,60	34,60	43,50	31,60	34,60
M01,D02,H03	43,00	30,60	33,50	43,00	30,60	33,50
M01,D02,H04	42,60	29,70	32,50	42,60	29,70	32,50
M01,D02,H05	42,20	28,70	31,50	42,20	28,70	31,50
M01,D02,H06	41,80	27,70	30,50	41,80	27,70	30,50
M01,D02,H07	41,40	26,80	29,50	41,40	26,80	29,50
M01,D02,H08	42,80	23,40	34,20	42,80	23,40	34,20
M01,D02,H09	44,20	20,10	39,00	44,20	20,10	39,00
M01,D02,H10	45,70	16,70	43,80	45,70	16,70	43,80
M01,D02,H11	47,10	13,40	48,50	47,10	13,40	48,50
M01,D02,H12	48,50	10,00	53,30	48,50	10,00	53,30
M01,D02,H13	49,90	6,66	58,00	49,90	6,66	58,00
M01,D02,H14	48,20	8,28	57,90	48,20	8,28	57,90
M01,D02,H15	46,40	9,90	57,70	46,40	9,90	57,70
M01,D02,H16	44,70	11,50	57,50	44,70	11,50	57,50
M01,D02,H17	42,90	13,10	57,40	42,90	13,10	57,40
M01,D02,H18	41,10	14,80	57,20	41,10	14,80	57,20
M01,D02,H19	39,40	16,40	57,00	39,40	16,40	57,00
M01,D02,H20	36,80	15,80	59,50	36,80	15,80	59,50
M01,D02,H21	34,30	15,20	62,00	34,30	15,20	62,00
M01,D02,H22	31,80	14,60	64,40	31,80	14,60	64,40
M01,D02,H23	29,20	14,00	66,90	29,20	14,00	66,90
M01,D02,H24	26,70	13,40	69,30	26,70	13,40	69,30
M01,D03,H01	24,20	12,80	71,80	24,20	12,80	71,80
M01,D03,H02	24,90	13,60	72,70	24,90	13,60	72,70
M01,D03,H03	25,70	14,30	73,70	25,70	14,30	73,70
M01,D03,H04	26,40	15,00	74,70	26,40	15,00	74,70
M01,D03,H05	27,20	15,70	75,60	27,20	15,70	75,60
M01,D03,H06	28,00	16,40	76,60	28,00	16,40	76,60
M01,D03,H07	28,70	17,20	77,60	28,70	17,20	77,60
M01,D03,H08	32,30	17,20	75,70	32,30	17,20	75,70
M01,D03,H09	35,90	17,30	73,70	35,90	17,30	73,70
M01,D03,H10	39,50	17,40	71,80	39,50	17,40	71,80
M01,D03,H11	43,00	17,40	69,90	43,00	17,40	69,90
M01,D03,H12	46,60	17,50	68,00	46,60	17,50	68,00
M01,D03,H13	50,20	17,60	66,00	50,20	17,60	66,00
M01,D03,H14	48,10	16,40	63,60	48,10	16,40	63,60
M01,D03,H15	46,00	15,30	61,20	46,00	15,30	61,20
M01,D03,H16	44,00	14,20	58,80	44,00	14,20	58,80
M01,D03,H17	41,90	13,10	56,40	41,90	13,10	56,40
M01,D03,H18	39,90	12,00	54,00	39,90	12,00	54,00
M01,D03,H19	37,80	10,80	51,50	37,80	10,80	51,50
M01,D03,H20	33,40	11,40	50,90	33,40	11,40	50,90
M01,D03,H21	28,90	12,10	50,20	28,90	12,10	50,20
M01,D03,H22	24,50	12,70	49,50	24,50	12,70	49,50
M01,D03,H23	20,10	13,30	48,80	20,10	13,30	48,80
M01,D03,H24	15,70	13,90	48,10	15,70	13,90	48,10
M01,D04,H01	11,20	14,60	47,40	11,20	14,60	47,40
M01,D04,H02	9,80	14,30	46,40	9,80	14,30	46,40
M01,D04,H03	8,37	14,00	45,30	8,37	14,00	45,30
M01,D04,H04	6,94	13,70	44,30	6,94	13,70	44,30
M01,D04,H05	5,50	13,50	43,20	5,50	13,50	43,20
M01,D04,H06	4,07	13,20	42,20	4,07	13,20	42,20
M01,D04,H07	2,64	12,90	41,10	2,64	12,90	41,10
M01,D04,H08	4,62	11,40	46,20	4,62	11,40	46,20
M01,D04,H09	6,61	9,92	51,30	6,61	9,92	51,30
M01,D04,H10	8,60	8,43	56,30	8,60	8,43	56,30
M01,D04,H11	10,60	6,93	61,40	10,60	6,93	61,40
M01,D04,H12	12,60	5,44	66,50	12,60	5,44	66,50
M01,D04,H13	14,60	3,95	71,50	14,60	3,95	71,50
M01,D04,H14	14,10	4,44	69,30	14,10	4,44	69,30
M01,D04,H15	13,60	4,93	67,20	13,60	4,93	67,20
M01,D04,H16	13,10	5,42	65,00	13,10	5,42	65,00
M01,D04,H17	12,70	5,91	62,80	12,70	5,91	62,80
M01,D04,H18	12,20	6,40	60,60	12,20	6,40	60,60
M01,D04,H19	11,70	6,89	58,40	11,70	6,89	58,40
M01,D04,H20	11,10	6,30	56,00	11,10	6,30	56,00
M01,D04,H21	10,50	5,71	53,50	10,50	5,71	53,50
M01,D04,H22	9,87	5,12	51,10	9,87	5,12	51,10
M01,D04,H23	9,25	4,53	48,60	9,25	4,53	48,60
M01,D04,H24	8,63	3,94	46,20	8,63	3,94	46,20
M01,D05,H01	8,00	3,35	43,80	8,00	3,35	43,80
M01,D05,H02	8,70	3,18	47,10	8,70	3,18	47,10
M01,D05,H03	9,40	3,01	50,50	9,40	3,01	50,50
M01,D05,H04	10,10	2,83	53,90	10,10	2,83	53,90
M01,D05,H05	10,80	2,66	57,30	10,80	2,66	57,30
M01,D05,H06	11,50	2,48	60,60	11,50	2,48	60,60
M01,D05,H07	12,20	2,31	64,00	12,20	2,31	64,00
M01,D05,H08	16,40	3,31	67,20	16,40	3,31	67,20
M01,D05,H09	20,50	4,31	70,30	20,50	4,31	70,30
M01,D05,H10	24,70	5,30	73,50	24,70	5,30	73,50
M01,D05,H11	28,90	6,30	76,60	28,90	6,30	76,60
M01,D05,H12	33,10	7,30	79,80	33,10	7,30	79,80
M01,D05,H13	37,20	8,30	83,00	37,20	8,30	83,00
M01,D05,H14	35,60	12,70	83,50	35,60	12,70	83,50
M01,D05,H15	33,90	17,10	84,10	33,90	17,10	84,10
M01,D05,H16	32,20	21,50	84,70	32,20	21,50	84,70
M01,D05,H17	30,60	25,90	85,30	30,60	25,90	85,30
M01,D05,H18	28,90	30,30	85,80	28,90	30,30	85,80
M01,D05,H19	27,30	34,70	86,40	27,30	34,70	86,40
M01,D05,H20	29,50	38,00	86,00	29,50	38,00	86,00
M01,D05,H21	31,70	41,30	85,70	31,70	41,30	85,70
M01,D05,H22	33,90	44,60	85,30	33,90	44,60	85,30
M01,D05,H23	36,10	47,90	84,90	36,10	47,90	84,90
M01,D05,H24	38,30	51,10	84,60	38,30	51,10	84,60
M01,D06,H01	40,50	54,40	84,20	40,50	54,40	84,20
M01,D06,H02	43,40	56,80	82,00	43,40	56,80	82,00
M01,D06,H03	46,20	59,10	79,80	46,20	59,10	79,80
M01,D06,H04	49,00	61,50	77,60	49,00	61,50	77,60
M01,D06,H05	51,80	63,80	75,40	51,80	63,80	75,40
M01,D06,H06	54,60	66,20	73,30	54,60	66,20	73,30
M01,D06,H07	57,50	68,50	71,10	57,50	68,50	71,10
M01,D06,H08	58,60	70,10	69,70	58,60	70,10	69,70
M01,D06,H09	59,80	71,70	68,30	59,80	71,70	68,30
M01,D06,H10	60,90	73,30	66,90	60,90	73,30	66,90
M01,D06,H11	62,10	74,90	65,50	62,10	74,90	65,50
M01,D06,H12	63,30	76,50	64,10	63,30	76,50	64,10
M01,D06,H13	64,40	78,10	62,70	64,40	78,10	62,70
M01,D06,H14	64,70	72,10	58,30	64,70	72,10	58,30
M01,D06,H15	65,00	66,00	53,90	65,00	66,00	53,90
M01,D06,H16	65,30	59,90	49,50	65,30	59,90	49,50
M01,D06,H17	65,60	53,90	45,10	65,60	53,90	45,10
M01,D06,H18	65,90	47,80	40,80	65,90	47,80	40,80
M01,D06,H19	66,10	41,80	36,40	66,10	41,80	36,40
M01,D06,H20	63,90	36,10	35,30	63,90	36,10	35,30
M01,D06,H21	61,60	30,50	34,20	61,60	30,50	34,20
M01,D06,H22	59,30	24,90	33,10	59,30	24,90	33,10
M01,D06,H23	57,00	19,30	32,00	57,00	19,30	32,00
M01,D06,H24	54,70	13,70	30,90	54,70	13,70	30,90
M01,D07,H01	52,40	8,11	29,80	52,40	8,11	29,80
M01,D07,H02	45,60	7,13	29,70	45,60	7,13	29,70
M01,D07,H03	38,90	6,15	29,60	38,90	6,15	29,60
M01,D07,H04	32,10	5,17	29,40	32,10	5,17	29,40
M01,D07,H05	25,30	4,19	29,30	25,30	4,19	29,30
M01,D07,H06	18,50	3,21	29,20	18,50	3,21	29,20
M01,D07,H07	11,70	2,23	29,10	11,70	2,23	29,10
M01,D07,H08	11,20	4,18	27,10	11,20	4,18	27,10
M01,D07,H09	10,70	6,12	25,20	10,70	6,12	25,20
M01,D07,H10	10,20	8,06	23,20	10,20	8,06	23,20
M01,D07,H11	9,66	10,00	21,30	9,66	10,00	21,30
M01,D07,H12	9,14	12,00	19,30	9,14	12,00	19,30
M01,D07,H13	8,63	13,90	17,40	8,63	13,90	17,40
M01,D07,H14	9,86	16,70	18,80	9,86	16,70	18,80
M01,D07,H15	11,10	19,40	20,20	11,10	19,40	20,20
M01,D07,H16	12,30	22,20	21,60	12,30	22,20	21,60
M01,D07,H17	13,60	25,00	23,10	13,60	25,00	23,10
M01,D07,H18	14,80	27,70	24,50	14,80	27,70	24,50
M01,D07,H19	16,00	30,50	25,90	16,00	30,50	25,90
M01,D07,H20	18,20	32,30	28,30	18,20	32,30	28,30
M01,D07,H21	20,30	34,10	30,70	20,30	34,10	30,70
M01,D07,H22	22,40	35,90	33,10	22,40	35,90	33,10
M01,D07,H23	24,50	37,70	35,50	24,50	37,70	35,50
M01,D07,H24	26,70	39,50	37,90	26,70	39,50	37,90
M01,D08,H01	28,80	41,20	40,30	28,80	41,20	40,30
M01,D08,H02	30,80	42,60	44,30	30,80	42,60	44,30
M01,D08,H03	32,70	43,90	48,30	32,70	43,90	48,30
M01,D08,H04	34,70	45,30	52,30	34,70	45,30	52,30
M01,D08,H05	36,70	46,60	56,40	36,70	46,60	56,40
M01,D08,H06	38,60	48,00	60,40	38,60	48,00	60,40
M01,D08,H07	40,60	49,30	64,40	40,60	49,30	64,40
M01,D08,H08	40,50	46,80	66,90	40,50	46,80	66,90
M01,D08,H09	40,40	44,20	69,30	40,40	44,20	69,30
M01,D08,H10	40,30	41,70	71,80	40,30	41,70	71,80
M01,D08,H11	40,10	39,10	74,30	40,10	39,10	74,30
M01,D08,H12	40,00	36,60	76,70	40,00	36,60	76,70
M01,D08,H13	39,90	34,00	79,20	39,90	34,00	79,20
M01,D08,H14	38,00	31,30	77,50	38,00	31,30	77,50
M01,D08,H15	36,00	28,50	75,70	36,00	28,50	75,70
M01,D08,H16	34,00	25,70	74,00	34,00	25,70	74,00
M01,D08,H17	32,10	23,00	72,30	32,10	23,00	72,30
M01,D08,H18	30,10	20,20	70,50	30,10	20,20	70,50
M01,D08,H19	28,10	17,40	68,80	28,10	17,40	68,80
M01,D08,H20	27,20	15,60	70,20	27,20	15,60	70,20
M01,D08,H21	26,30	13,70	71,60	26,30	13,70	71,60
M01,D08,H22	25,40	11,80	73,00	25,40	11,80	73,00
M01,D08,H23	24,50	9,98	74,40	24,50	9,98	74,40
M01,D08,H24	23,60	8,12	75,80	23,60	8,12	75,80
M01,D09,H01	22,70	6,26	77,20	22,70	6,26	77,20
M01,D09,H02	23,20	5,65	74,80	23,20	5,65	74,80
M01,D09,H03	23,70	5,05	72,40	23,70	5,05	72,40
M01,D09,H04	24,20	4,44	70,00	24,20	4,44	70,00
M01,D09,H05	24,70	3,83	67,60	24,70	3,83	67,60
M01,D09,H06	25,10	3,23	65,20	25,10	3,23	65,20
M01,D09,H07	25,60	2,62	62,90	25,60	2,62	62,90
M01,D09,H08	26,70	2,94	61,00	26,70	2,94	61,00
M01,D09,H09	27,70	3,25	59,20	27,70	3,25	59,20
M01,D09,H10	28,70	3,56	57,40	28,70	3,56	57,40
M01,D09,H11	29,80	3,87	55,60	29,80	3,87	55,60
M01,D09,H12	30,80	4,18	53,80	30,80	4,18	53,80
M01,D09,H13	31,90	4,50	52,00	31,90	4,50	52,00
M01,D09,H14	31,90	4,25	45,40	31,90	4,25	45,40
M01,D09,H15	31,90	4,01	38,80	31,90	4,01	38,80
M01,D09,H16	32,00	3,77	32,30	32,00	3,77	32,30
M01,D09,H17	32,00	3,52	25,70	32,00	3,52	25,70
M01,D09,H18	32,00	3,28	19,20	32,00	3,28	19,20
M01,D09,H19	32,10	3,04	12,60	32,10	3,04	12,60
M01,D09,H20	28,10	2,85	17,40	28,10	2,85	17,40
M01,D09,H21	24,20	2,65	22,20	24,20	2,65	22,20
M01,D09,H22	20,20	2,46	27,00	20,20	2,46	27,00
M01,D09,H23	16,30	2,27	31,70	16,30	2,27	31,70
M01,D09,H24	12,30	2,08	36,50	12,30	2,08	36,50
M01,D10,H01	8,41	1,89	41,30	8,41	1,89	41,30
M01,D10,H02	7,51	3,90	39,50	7,51	3,90	39,50
M01,D10,H03	6,62	5,92	37,80	6,62	5,92	37,80
M01,D10,H04	5,72	7,94	36,00	5,72	7,94	36,00
M01,D10,H05	4,83	9,96	34,30	4,83	9,96	34,30
M01,D10,H06	3,93	12,00	32,50	3,93	12,00	32,50
M01,D10,H07	3,04	14,00	30,70	3,04	14,00	30,70
M01,D10,H08	2,79	19,20	33,70	2,79	19,20	33,70
M01,D10,H09	2,54	24,50	36,60	2,54	24,50	36,60
M01,D10,H10	2,29	29,70	39,60	2,29	29,70	39,60
M01,D10,H11	2,03	34,90	42,50	2,03	34,90	42,50
M01,D10,H12	1,78	40,10	45,40	1,78	40,10	45,40
M01,D10,H13	1,53	45,40	48,40	1,53	45,40	48,40
M01,D10,H14	5,85	39,90	48,80	5,85	39,90	48,80
M01,D10,H15	10,20	34,50	49,30	10,20	34,50	49,30
M01,D10,H16	14,50	29,00	49,70	14,50	29,00	49,70
M01,D10,H17	18,80	23,50	50,20	18,80	23,50	50,20
M01,D10,H18	23,10	18,10	50,60	23,10	18,10	50,60
M01,D10,H19	27,40	12,60	51,10	27,40	12,60	51,10
M01,D10,H20	29,00	13,10	44,70	29,00	13,10	44,70
M01,D10,H21	30,60	13,50	38,40	30,60	13,50	38,40
M01,D10,H22	32,10	13,90	32,00	32,10	13,90	32,00
M01,D10,H23	33,70	14,30	25,60	33,70	14,30	25,60
M01,D10,H24	35,20	14,70	19,30	35,20	14,70	19,30
M01,D11,H01	36,80	15,20	12,90	36,80	15,20	12,90
M01,D11,H02	35,10	23,40	12,20	35,10	23,40	12,20
M01,D11,H03	33,40	31,50	11,60	33,40	31,50	11,60
M01,D11,H04	31,80	39,70	10,90	31,80	39,70	10,90
M01,D11,H05	30,10	47,90	10,30	30,10	47,90	10,30
M01,D11,H06	28,40	56,10	9,61	28,40	56,10	9,61
M01,D11,H07	26,70	64,20	8,95	26,70	64,20	8,95
M01,D11,H08	24,20	68,60	13,60	24,20	68,60	13,60
M01,D11,H09	21,80	72,90	18,20	21,80	72,90	18,20
M01,D11,H10	19,30	77,20	22,80	19,30	77,20	22,80
M01,D11,H11	16,90	81,60	27,40	16,90	81,60	27,40
M01,D11,H12	14,40	85,90	32,10	14,40	85,90	32,10
M01,D11,H13	12,00	90,20	36,70	12,00	90,20	36,70
M01,D11,H14	14,10	88,60	39,90	14,10	88,60	39,90
M01,D11,H15	16,20	86,90	43,10	16,20	86,90	43,10
M01,D11,H16	18,30	85,30	46,20	18,30	85,30	46,20
M01,D11,H17	20,40	83,70	49,40	20,40	83,70	49,40
M01,D11,H18	22,50	82,00	52,60	22,50	82,00	52,60
M01,D11,H19	24,60	80,40	55,80	24,60	80,40	55,80
M01,D11,H20	27,30	77,40	56,20	27,30	77,40	56,20
M01,D11,H21	30,00	74,40	56,70	30,00	74,40	56,70
M01,D11,H22	32,70	71,30	57,10	32,70	71,30	57,10
M01,D11,H23	35,50	68,30	57,60	35,50	68,30	57,60
M01,D11,H24	38,20	65,30	58,00	38,20	65,30	58,00
M01,D12,H01	40,90	62,30	58,50	40,90	62,30	58,50
M01,D12,H02	43,70	66,80	56,90	43,70	66,80	56,90
M01,D12,H03	46,40	71,30	55,30	46,40	71,30	55,30
M01,D12,H04	49,20	75,80	53,80	49,20	75,80	53,80
M01,D12,H05	51,90	80,30	52,20	51,90	80,30	52,20
M01,D12,H06	54,70	84,80	50,60	54,70	84,80	50,60
M01,D12,H07	57,40	89,30	49,10	57,40	89,30	49,10
M01,D12,H08	60,70	80,50	50,30	60,70	80,50	50,30
M01,D12,H09	63,90	71,70	51,50	63,90	71,70	51,50
M01,D12,H10	67,20	62,80	52,80	67,20	62,80	52,80
M01,D12,H11	70,50	54,00	54,00	70,50	54,00	54,00
M01,D12,H12	73,70	45,20	55,30	73,70	45,20	55,30
M01,D12,H13	77,00	36,30	56,50	77,00	36,30	56,50
M01,D12,H14	71,70	39,30	58,70	71,70	39,30	58,70
M01,D12,H15	66,30	42,20	60,90	66,30	42,20	60,90
M01,D12,H16	61,00	45,20	63,10	61,00	45,20	63,10
M01,D12,H17	55,70	48,10	65,30	55,70	48,10	65,30
M01,D12,H18	50,40	51,10	67,50	50,40	51,10	67,50
M01,D12,H19	45,10	54,00	69,70	45,10	54,00	69,70
M01,D12,H20	45,30	54,90	72,80	45,30	54,90	72,80
M01,D12,H21	45,50	55,80	75,80	45,50	55,80	75,80
M01,D12,H22	45,70	56,60	78,80	45,70	56,60	78,80
M01,D12,H23	45,90	57,50	81,80	45,90	57,50	81,80
M01,D12,H24	46,10	58,40	84,80	46,10	58,40	84,80
M01,D13,H01	46,30	59,30	87,90	46,30	59,30	87,90
M01,D13,H02	42,20	53,60	87,70	42,20	53,60	87,70
M01,D13,H03	38,10	47,90	87,60	38,10	47,90	87,60
M01,D13,H04	34,00	42,20	87,50	34,00	42,20	87,50
M01,D13,H05	29,90	36,50	87,30	29,90	36,50	87,30
M01,D13,H06	25,90	30,90	87,20	25,90	30,90	87,20
M01,D13,H07	21,80	25,20	87,10	21,80	25,20	87,10
M01,D13,H08	24,60	29,00	87,90	24,60	29,00	87,90
M01,D13,H09	27,30	32,80	88,60	27,30	32,80	88,60
M01,D13,H10	30,10	36,50	89,40	30,10	36,50	89,40
M01,D13,H11	32,90	40,30	90,20	32,90	40,30	90,20
M01,D13,H12	35,70	44,10	90,90	35,70	44,10	90,90
M01,D13,H13	38,50	47,90	91,70	38,50	47,90	91,70
M01,D13,H14	38,10	41,30	91,00	38,10	41,30	91,00
M01,D13,H15	37,60	34,70	90,20	37,60	34,70	90,20
M01,D13,H16	37,20	28,20	89,50	37,20	28,20	89,50
M01,D13,H17	36,70	21,60	88,70	36,70	21,60	88,70
M01,D13,H18	36,30	15,00	88,00	36,30	15,00	88,00
M01,D13,H19	35,80	8,40	87,20	35,80	8,40	87,20
M01,D13,H20	35,00	11,80	88,00	35,00	11,80	88,00
M01,D13,H21	34,10	15,10	88,90	34,10	15,10	88,90
M01,D13,H22	33,20	18,50	89,70	33,20	18,50	89,70
M01,D13,H23	32,30	21,90	90,50	32,30	21,90	90,50
M01,D13,H24	31,40	25,20	91,30	31,40	25,20	91,30
M01,D14,H01	30,60	28,60	92,10	30,60	28,60	92,10
M01,D14,H02	31,40	31,70	91,80	31,40	31,70	91,80
M01,D14,H03	32,10	34,80	91,40	32,10	34,80	91,40
M01,D14,H04	32,90	37,80	91,10	32,90	37,80	91,10
M01,D14,H05	33,70	40,90	90,70	33,70	40,90	90,70
M01,D14,H06	34,50	44,00	90,40	34,50	44,00	90,40
M01,D14,H07	35,30	47,10	90,00	35,30	47,10	90,00
M01,D14,H08	37,90	45,00	89,10	37,90	45,00	89,10
M01,D14,H09	40,60	43,00	88,20	40,60	43,00	88,20
M01,D14,H10	43,30	40,90	87,40	43,30	40,90	87,40
M01,D14,H11	45,90	38,80	86,50	45,90	38,80	86,50
M01,D14,H12	48,60	36,80	85,60	48,60	36,80	85,60
M01,D14,H13	51,20	34,70	84,70	51,20	34,70	84,70
M01,D14,H14	50,80	32,10	75,60	50,80	32,10	75,60
M01,D14,H15	50,40	29,40	66,60	50,40	29,40	66,60
M01,D14,H16	50,00	26,80	57,50	50,00	26,80	57,50
M01,D14,H17	49,60	24,10	48,50	49,60	24,10	48,50
M01,D14,H18	49,10	21,50	39,40	49,10	21,50	39,40
M01,D14,H19	48,70	18,80	30,30	48,70	18,80	30,30
M01,D14,H20	46,80	17,50	27,50	46,80	17,50	27,50
M01,D14,H21	44,90	16,20	24,80	44,90	16,20	24,80
M01,D14,H22	42,90	15,00	22,00	42,90	15,00	22,00
M01,D14,H23	41,00	13,70	19,20	41,00	13,70	19,20
M01,D14,H24	39,10	12,40	16,40	39,10	12,40	16,40
M01,D15,H01	37,10	11,10	13,60	37,10	11,10	13,60
M01,D15,H02	34,70	10,10	12,10	34,70	10,10	12,10
M01,D15,H03	32,30	9,03	10,60	32,30	9,03	10,60
M01,D15,H04	29,90	7,99	9,13	29,90	7,99	9,13
M01,D15,H05	27,50	6,95	7,64	27,50	6,95	7,64
M01,D15,H06	25,00	5,91	6,15	25,00	5,91	6,15
M01,D15,H07	22,60	4,87	4,66	22,60	4,87	4,66
M01,D15,H08	22,70	5,83	3,96	22,70	5,83	3,96
M01,D15,H09	22,70	6,78	3,27	22,70	6,78	3,27
M01,D15,H10	22,80	7,74	2,58	22,80	7,74	2,58
M01,D15,H11	22,90	8,69	1,89	22,90	8,69	1,89
M01,D15,H12	22,90	9,65	1,20	22,90	9,65	1,20
M01,D15,H13	23,00	10,60	0,50	23,00	10,60	0,50
M01,D15,H14	21,70	10,10	0,76	21,70	10,10	0,76
M01,D15,H15	20,40	9,69	1,02	20,40	9,69	1,02
M01,D15,H16	19,20	9,24	1,28	19,20	9,24	1,28
M01,D15,H17	17,90	8,78	1,53	17,90	8,78	1,53
M01,D15,H18	16,60	8,33	1,79	16,60	8,33	1,79
M01,D15,H19	15,40	7,87	2,05	15,40	7,87	2,05
M01,D15,H20	14,50	6,92	3,07	14,50	6,92	3,07
M01,D15,H21	13,60	5,97	4,09	13,60	5,97	4,09
M01,D15,H22	12,70	5,01	5,11	12,70	5,01	5,11
M01,D15,H23	11,80	4,06	6,13	11,80	4,06	6,13
M01,D15,H24	11,00	3,11	7,15	11,00	3,11	7,15
M01,D16,H01	10,10	2,16	8,17	10,10	2,16	8,17
M01,D16,H02	10,20	2,12	9,13	10,20	2,12	9,13
M01,D16,H03	10,40	2,09	10,10	10,40	2,09	10,10
M01,D16,H04	10,60	2,05	11,10	10,60	2,05	11,10
M01,D16,H05	10,70	2,02	12,00	10,70	2,02	12,00
M01,D16,H06	10,90	1,99	13,00	10,90	1,99	13,00
M01,D16,H07	11,10	1,95	13,90	11,10	1,95	13,90
M01,D16,H08	10,20	2,00	14,20	10,20	2,00	14,20
M01,D16,H09	9,33	2,05	14,50	9,33	2,05	14,50
M01,D16,H10	8,45	2,09	14,70	8,45	2,09	14,70
M01,D16,H11	7,58	2,14	15,00	7,58	2,14	15,00
M01,D16,H12	6,70	2,18	15,30	6,70	2,18	15,30
M01,D16,H13	5,82	2,23	15,50	5,82	2,23	15,50
M01,D16,H14	5,47	2,22	14,00	5,47	2,22	14,00
M01,D16,H15	5,13	2,20	12,50	5,13	2,20	12,50
M01,D16,H16	4,78	2,19	10,90	4,78	2,19	10,90
M01,D16,H17	4,43	2,18	9,40	4,43	2,18	9,40
M01,D16,H18	4,08	2,17	7,87	4,08	2,17	7,87
M01,D16,H19	3,74	2,15	6,34	3,74	2,15	6,34
M01,D16,H20	4,03	4,51	6,16	4,03	4,51	6,16
M01,D16,H21	4,32	6,87	5,98	4,32	6,87	5,98
M01,D16,H22	4,62	9,22	5,80	4,62	9,22	5,80
M01,D16,H23	4,91	11,60	5,61	4,91	11,60	5,61
M01,D16,H24	5,20	13,90	5,43	5,20	13,90	5,43
M01,D17,H01	5,50	16,30	5,25	5,50	16,30	5,25
M01,D17,H02	5,43	25,30	5,24	5,43	25,30	5,24
M01,D17,H03	5,35	34,20	5,22	5,35	34,20	5,22
M01,D17,H04	5,28	43,20	5,20	5,28	43,20	5,20
M01,D17,H05	5,21	52,10	5,18	5,21	52,10	5,18
M01,D17,H06	5,14	61,10	5,17	5,14	61,10	5,17
M01,D17,H07	5,07	70,10	5,15	5,07	70,10	5,15
M01,D17,H08	6,17	71,30	6,07	6,17	71,30	6,07
M01,D17,H09	7,27	72,50	7,00	7,27	72,50	7,00
M01,D17,H10	8,37	73,70	7,93	8,37	73,70	7,93
M01,D17,H11	9,47	74,90	8,86	9,47	74,90	8,86
M01,D17,H12	10,60	76,10	9,78	10,60	76,10	9,78
M01,D17,H13	11,70	77,30	10,70	11,70	77,30	10,70
M01,D17,H14	13,40	78,90	13,00	13,40	78,90	13,00
M01,D17,H15	15,10	80,60	15,30	15,10	80,60	15,30
M01,D17,H16	16,80	82,20	17,60	16,80	82,20	17,60
M01,D17,H17	18,60	83,80	19,90	18,60	83,80	19,90
M01,D17,H18	20,30	85,50	22,20	20,30	85,50	22,20
M01,D17,H19	22,00	87,10	24,50	22,00	87,10	24,50
M01,D17,H20	25,60	86,00	30,80	25,60	86,00	30,80
M01,D17,H21	29,20	84,90	37,00	29,20	84,90	37,00
M01,D17,H22	32,90	83,70	43,30	32,90	83,70	43,30
M01,D17,H23	36,50	82,60	49,60	36,50	82,60	49,60
M01,D17,H24	40,10	81,50	55,90	40,10	81,50	55,90
M01,D18,H01	43,70	80,40	62,20	43,70	80,40	62,20
M01,D18,H02	48,60	79,50	63,40	48,60	79,50	63,40
M01,D18,H03	53,40	78,60	64,50	53,40	78,60	64,50
M01,D18,H04	58,30	77,70	65,70	58,30	77,70	65,70
M01,D18,H05	63,10	76,80	66,80	63,10	76,80	66,80
M01,D18,H06	68,00	75,90	68,00	68,00	75,90	68,00
M01,D18,H07	72,80	75,00	69,20	72,80	75,00	69,20
M01,D18,H08	73,00	72,80	66,50	73,00	72,80	66,50
M01,D18,H09	73,10	70,60	63,90	73,10	70,60	63,90
M01,D18,H10	73,30	68,50	61,30	73,30	68,50	61,30
M01,D18,H11	73,50	66,30	58,60	73,50	66,30	58,60
M01,D18,H12	73,60	64,10	56,00	73,60	64,10	56,00
M01,D18,H13	73,80	61,90	53,40	73,80	61,90	53,40
M01,D18,H14	70,50	66,30	48,60	70,50	66,30	48,60
M01,D18,H15	67,20	70,80	43,90	67,20	70,80	43,90
