Pattern	S wind	N wind	G wind	S wind new	N wind new	G wind new
M07,D13,H12	9,21	7,03	19,00	9,21	7,03	19,00
M07,D13,H13	9,31	5,01	19,70	9,31	5,01	19,70
M07,D13,H14	8,44	5,30	17,70	8,44	5,30	17,70
M07,D13,H15	7,58	5,59	15,80	7,58	5,59	15,80
M07,D13,H16	6,71	5,88	13,80	6,71	5,88	13,80
M07,D13,H17	5,84	6,17	11,80	5,84	6,17	11,80
M07,D13,H18	4,98	6,46	9,88	4,98	6,46	9,88
M07,D13,H19	4,11	6,75	7,92	4,11	6,75	7,92
M07,D13,H20	4,01	6,71	8,58	4,01	6,71	8,58
M07,D13,H21	3,91	6,66	9,24	3,91	6,66	9,24
M07,D13,H22	3,80	6,62	9,91	3,80	6,62	9,91
M07,D13,H23	3,70	6,57	10,60	3,70	6,57	10,60
M07,D13,H24	3,60	6,53	11,20	3,60	6,53	11,20
M07,D14,H01	3,50	6,48	11,90	3,50	6,48	11,90
M07,D14,H02	3,53	5,80	11,80	3,53	5,80	11,80
M07,D14,H03	3,56	5,11	11,80	3,56	5,11	11,80
M07,D14,H04	3,59	4,42	11,70	3,59	4,42	11,70
M07,D14,H05	3,62	3,73	11,70	3,62	3,73	11,70
M07,D14,H06	3,65	3,05	11,60	3,65	3,05	11,60
M07,D14,H07	3,68	2,36	11,60	3,68	2,36	11,60
M07,D14,H08	4,62	2,34	11,50	4,62	2,34	11,50
M07,D14,H09	5,57	2,33	11,40	5,57	2,33	11,40
M07,D14,H10	6,52	2,31	11,30	6,52	2,31	11,30
M07,D14,H11	7,46	2,29	11,20	7,46	2,29	11,20
M07,D14,H12	8,41	2,27	11,10	8,41	2,27	11,10
M07,D14,H13	9,35	2,26	11,00	9,35	2,26	11,00
M07,D14,H14	9,90	2,66	9,81	9,90	2,66	9,81
M07,D14,H15	10,50	3,06	8,61	10,50	3,06	8,61
M07,D14,H16	11,00	3,47	7,41	11,00	3,47	7,41
M07,D14,H17	11,50	3,87	6,21	11,50	3,87	6,21
M07,D14,H18	12,10	4,27	5,01	12,10	4,27	5,01
M07,D14,H19	12,60	4,67	3,81	12,60	4,67	3,81
M07,D14,H20	11,90	4,90	3,97	11,90	4,90	3,97
M07,D14,H21	11,20	5,13	4,13	11,20	5,13	4,13
M07,D14,H22	10,40	5,36	4,29	10,40	5,36	4,29
M07,D14,H23	9,70	5,59	4,44	9,70	5,59	4,44
M07,D14,H24	8,97	5,82	4,60	8,97	5,82	4,60
M07,D15,H01	8,23	6,05	4,76	8,23	6,05	4,76
M07,D15,H02	8,27	5,70	4,99	8,27	5,70	4,99
M07,D15,H03	8,30	5,36	5,22	8,30	5,36	5,22
M07,D15,H04	8,34	5,01	5,45	8,34	5,01	5,45
M07,D15,H05	8,37	4,67	5,68	8,37	4,67	5,68
M07,D15,H06	8,40	4,32	5,91	8,40	4,32	5,91
M07,D15,H07	8,44	3,98	6,14	8,44	3,98	6,14
M07,D15,H08	8,58	4,57	5,87	8,58	4,57	5,87
M07,D15,H09	8,72	5,16	5,60	8,72	5,16	5,60
M07,D15,H10	8,86	5,75	5,33	8,86	5,75	5,33
M07,D15,H11	9,00	6,34	5,06	9,00	6,34	5,06
M07,D15,H12	9,14	6,93	4,79	9,14	6,93	4,79
M07,D15,H13	9,29	7,52	4,53	9,29	7,52	4,53
M07,D15,H14	9,85	8,85	4,74	9,85	8,85	4,74
M07,D15,H15	10,40	10,20	4,95	10,40	10,20	4,95
M07,D15,H16	11,00	11,50	5,16	11,00	11,50	5,16
M07,D15,H17	11,50	12,80	5,37	11,50	12,80	5,37
M07,D15,H18	12,10	14,20	5,58	12,10	14,20	5,58
M07,D15,H19	12,70	15,50	5,79	12,70	15,50	5,79
M07,D15,H20	11,80	14,80	5,81	11,80	14,80	5,81
M07,D15,H21	11,00	14,20	5,84	11,00	14,20	5,84
M07,D15,H22	10,20	13,50	5,86	10,20	13,50	5,86
M07,D15,H23	9,43	12,80	5,88	9,43	12,80	5,88
M07,D15,H24	8,62	12,20	5,90	8,62	12,20	5,90
M07,D16,H01	7,82	11,50	5,92	7,82	11,50	5,92
M07,D16,H02	7,49	12,60	7,17	7,49	12,60	7,17
M07,D16,H03	7,17	13,70	8,41	7,17	13,70	8,41
M07,D16,H04	6,84	14,80	9,66	6,84	14,80	9,66
M07,D16,H05	6,52	15,90	10,90	6,52	15,90	10,90
M07,D16,H06	6,19	17,00	12,20	6,19	17,00	12,20
M07,D16,H07	5,86	18,10	13,40	5,86	18,10	13,40
M07,D16,H08	6,06	18,50	14,90	6,06	18,50	14,90
M07,D16,H09	6,26	18,90	16,40	6,26	18,90	16,40
M07,D16,H10	6,46	19,30	17,80	6,46	19,30	17,80
M07,D16,H11	6,66	19,60	19,30	6,66	19,60	19,30
M07,D16,H12	6,85	20,00	20,80	6,85	20,00	20,80
M07,D16,H13	7,05	20,40	22,30	7,05	20,40	22,30
M07,D16,H14	6,82	20,30	22,10	6,82	20,30	22,10
M07,D16,H15	6,60	20,20	21,90	6,60	20,20	21,90
M07,D16,H16	6,37	20,10	21,80	6,37	20,10	21,80
M07,D16,H17	6,14	20,00	21,60	6,14	20,00	21,60
M07,D16,H18	5,91	19,90	21,40	5,91	19,90	21,40
M07,D16,H19	5,68	19,90	21,20	5,68	19,90	21,20
M07,D16,H20	5,13	18,40	20,40	5,13	18,40	20,40
M07,D16,H21	4,59	17,00	19,60	4,59	17,00	19,60
M07,D16,H22	4,04	15,60	18,80	4,04	15,60	18,80
M07,D16,H23	3,49	14,20	18,00	3,49	14,20	18,00
M07,D16,H24	2,95	12,80	17,30	2,95	12,80	17,30
