Pattern	G solar	G solar new
M01,D11,H11	17,80	17,80
M01,D11,H12	18,60	18,60
M01,D11,H13	16,60	16,60
M01,D11,H14	12,00	12,00
M01,D11,H15	6,15	6,15
M01,D11,H16	0,01	0,01
M01,D11,H17	0,01	0,01
M01,D11,H18	0,01	0,01
M01,D11,H19	0,01	0,01
M01,D11,H20	0,01	0,01
M01,D11,H21	0,01	0,01
M01,D11,H22	0,01	0,01
M01,D11,H23	0,01	0,01
M01,D11,H24	0,01	0,01
M01,D12,H01	0,01	0,01
M01,D12,H02	0,01	0,01
M01,D12,H03	0,01	0,01
M01,D12,H04	0,01	0,01
M01,D12,H05	0,01	0,01
M01,D12,H06	0,01	0,01
M01,D12,H07	0,01	0,01
M01,D12,H08	0,80	0,80
M01,D12,H09	8,10	8,10
M01,D12,H10	13,40	13,40
M01,D12,H11	17,00	17,00
M01,D12,H12	17,80	17,80
M01,D12,H13	15,80	15,80
M01,D12,H14	11,50	11,50
M01,D12,H15	5,77	5,77
M01,D12,H16	0,01	0,01
M01,D12,H17	0,01	0,01
M01,D12,H18	0,01	0,01
M01,D12,H19	0,01	0,01
M01,D12,H20	0,01	0,01
M01,D12,H21	0,01	0,01
M01,D12,H22	0,01	0,01
M01,D12,H23	0,01	0,01
M01,D12,H24	0,01	0,01
M01,D13,H01	0,01	0,01
M01,D13,H02	0,01	0,01
M01,D13,H03	0,01	0,01
M01,D13,H04	0,01	0,01
M01,D13,H05	0,01	0,01
M01,D13,H06	0,01	0,01
M01,D13,H07	0,01	0,01
M01,D13,H08	0,80	0,80
M01,D13,H09	5,86	5,86
M01,D13,H10	10,30	10,30
M01,D13,H11	13,20	13,20
M01,D13,H12	13,90	13,90
M01,D13,H13	12,30	12,30
M01,D13,H14	8,62	8,62
M01,D13,H15	3,94	3,94
M01,D13,H16	0,01	0,01
M01,D13,H17	0,01	0,01
M01,D13,H18	0,01	0,01
M01,D13,H19	0,01	0,01
M01,D13,H20	0,01	0,01
M01,D13,H21	0,01	0,01
M01,D13,H22	0,01	0,01
M01,D13,H23	0,01	0,01
M01,D13,H24	0,01	0,01
M01,D14,H01	0,01	0,01
M01,D14,H02	0,01	0,01
M01,D14,H03	0,01	0,01
M01,D14,H04	0,01	0,01
M01,D14,H05	0,01	0,01
M01,D14,H06	0,01	0,01
M01,D14,H07	0,01	0,01
M01,D14,H08	0,83	0,83
M01,D14,H09	6,35	6,35
M01,D14,H10	10,90	10,90
M01,D14,H11	13,90	13,90
M01,D14,H12	14,70	14,70
M01,D14,H13	13,00	13,00
M01,D14,H14	9,21	9,21
M01,D14,H15	4,37	4,37
M01,D14,H16	0,01	0,01
M01,D14,H17	0,01	0,01
M01,D14,H18	0,01	0,01
M01,D14,H19	0,01	0,01
M01,D14,H20	0,01	0,01
M01,D14,H21	0,01	0,01
M01,D14,H22	0,01	0,01
M01,D14,H23	0,01	0,01
M01,D14,H24	0,01	0,01
M01,D15,H01	0,01	0,01
M01,D15,H02	0,01	0,01
M01,D15,H03	0,01	0,01
M01,D15,H04	0,01	0,01
M01,D15,H05	0,01	0,01
M01,D15,H06	0,01	0,01
M01,D15,H07	0,01	0,01
M01,D15,H08	0,90	0,90
M01,D15,H09	7,06	7,06
M01,D15,H10	11,90	11,90
M01,D15,H11	15,10	15,10
M01,D15,H12	15,90	15,90
M01,D15,H13	14,10	14,10
M01,D15,H14	10,10	10,10
M01,D15,H15	4,95	4,95
M01,D15,H16	0,01	0,01
M01,D15,H17	0,01	0,01
M01,D15,H18	0,01	0,01
M01,D15,H19	0,01	0,01
M01,D15,H20	0,01	0,01
M01,D15,H21	0,01	0,01
M01,D15,H22	0,01	0,01
M01,D15,H23	0,01	0,01
M01,D15,H24	0,01	0,01
M01,D16,H01	0,01	0,01
M01,D16,H02	0,01	0,01
M01,D16,H03	0,01	0,01
M01,D16,H04	0,01	0,01
M01,D16,H05	0,01	0,01
M01,D16,H06	0,01	0,01
M01,D16,H07	0,01	0,01
M01,D16,H08	1,01	1,01
M01,D16,H09	13,40	13,40
M01,D16,H10	20,60	20,60
M01,D16,H11	25,20	25,20
M01,D16,H12	26,40	26,40
M01,D16,H13	23,70	23,70
M01,D16,H14	17,90	17,90
M01,D16,H15	10,20	10,20
M01,D16,H16	0,02	0,02
M01,D16,H17	0,01	0,01
M01,D16,H18	0,01	0,01
M01,D16,H19	0,01	0,01
M01,D16,H20	0,01	0,01
M01,D16,H21	0,01	0,01
M01,D16,H22	0,01	0,01
M01,D16,H23	0,01	0,01
M01,D16,H24	0,01	0,01
M01,D17,H01	0,01	0,01
M01,D17,H02	0,01	0,01
M01,D17,H03	0,01	0,01
M01,D17,H04	0,01	0,01
M01,D17,H05	0,01	0,01
M01,D17,H06	0,01	0,01
M01,D17,H07	0,01	0,01
M01,D17,H08	0,94	0,94
M01,D17,H09	5,51	5,51
M01,D17,H10	9,66	9,66
M01,D17,H11	12,40	12,40
M01,D17,H12	13,10	13,10
M01,D17,H13	11,50	11,50
M01,D17,H14	8,11	8,11
M01,D17,H15	3,71	3,71
M01,D17,H16	0,06	0,06
M01,D17,H17	0,01	0,01
M01,D17,H18	0,01	0,01
M01,D17,H19	0,01	0,01
M01,D17,H20	0,01	0,01
M01,D17,H21	0,01	0,01
M01,D17,H22	0,01	0,01
M01,D17,H23	0,01	0,01
M01,D17,H24	0,01	0,01
M01,D18,H01	0,01	0,01
M01,D18,H02	0,01	0,01
M01,D18,H03	0,01	0,01
M01,D18,H04	0,01	0,01
M01,D18,H05	0,01	0,01
M01,D18,H06	0,01	0,01
M01,D18,H07	0,01	0,01
M01,D18,H08	1,15	1,15
M01,D18,H09	22,90	22,90
M01,D18,H10	33,20	33,20
M01,D18,H11	39,80	39,80
M01,D18,H12	41,40	41,40
M01,D18,H13	37,70	37,70
M01,D18,H14	29,40	29,40
M01,D18,H15	18,20	18,20
M01,D18,H16	0,12	0,12
M01,D18,H17	0,01	0,01
M01,D18,H18	0,01	0,01
M01,D18,H19	0,01	0,01
M01,D18,H20	0,01	0,01
M01,D18,H21	0,01	0,01
M01,D18,H22	0,01	0,01
M01,D18,H23	0,01	0,01
M01,D18,H24	0,01	0,01
M01,D19,H01	0,01	0,01
M01,D19,H02	0,01	0,01
M01,D19,H03	0,01	0,01
M01,D19,H04	0,01	0,01
M01,D19,H05	0,01	0,01
M01,D19,H06	0,01	0,01
M01,D19,H07	0,01	0,01
M01,D19,H08	1,19	1,19
M01,D19,H09	30,00	30,00
M01,D19,H10	42,70	42,70
M01,D19,H11	50,70	50,70
M01,D19,H12	52,60	52,60
M01,D19,H13	48,20	48,20
M01,D19,H14	38,00	38,00
M01,D19,H15	24,30	24,30
M01,D19,H16	0,17	0,17
M01,D19,H17	0,01	0,01
M01,D19,H18	0,01	0,01
M01,D19,H19	0,01	0,01
M01,D19,H20	0,01	0,01
M01,D19,H21	0,01	0,01
M01,D19,H22	0,01	0,01
M01,D19,H23	0,01	0,01
M01,D19,H24	0,01	0,01
M01,D20,H01	0,01	0,01
M01,D20,H02	0,01	0,01
M01,D20,H03	0,01	0,01
M01,D20,H04	0,01	0,01
M01,D20,H05	0,01	0,01
M01,D20,H06	0,01	0,01
M01,D20,H07	0,01	0,01
M01,D20,H08	1,26	1,26
M01,D20,H09	29,40	29,40
M01,D20,H10	41,80	41,80
M01,D20,H11	49,70	49,70
M01,D20,H12	51,60	51,60
M01,D20,H13	47,20	47,20
M01,D20,H14	37,30	37,30
M01,D20,H15	23,80	23,80
M01,D20,H16	0,23	0,23
M01,D20,H17	0,01	0,01
M01,D20,H18	0,01	0,01
M01,D20,H19	0,01	0,01
M01,D20,H20	0,01	0,01
M01,D20,H21	0,01	0,01
M01,D20,H22	0,01	0,01
M01,D20,H23	0,01	0,01
M01,D20,H24	0,01	0,01
M01,D21,H01	0,01	0,01
M01,D21,H02	0,01	0,01
M01,D21,H03	0,01	0,01
M01,D21,H04	0,01	0,01
M01,D21,H05	0,01	0,01
M01,D21,H06	0,01	0,01
M01,D21,H07	0,01	0,01
M01,D21,H08	1,32	1,32
M01,D21,H09	17,20	17,20
M01,D21,H10	25,60	25,60
M01,D21,H11	30,90	30,90
M01,D21,H12	32,20	32,20
M01,D21,H13	29,20	29,20
M01,D21,H14	22,50	22,50
M01,D21,H15	13,50	13,50
M01,D21,H16	0,28	0,28
M01,D21,H17	0,01	0,01
M01,D21,H18	0,01	0,01
M01,D21,H19	0,01	0,01
M01,D21,H20	0,01	0,01
M01,D21,H21	0,01	0,01
M01,D21,H22	0,01	0,01
M01,D21,H23	0,01	0,01
M01,D21,H24	0,01	0,01
M01,D22,H01	0,01	0,01
M01,D22,H02	0,01	0,01
M01,D22,H03	0,01	0,01
M01,D22,H04	0,01	0,01
M01,D22,H05	0,01	0,01
M01,D22,H06	0,01	0,01
M01,D22,H07	0,01	0,01
M01,D22,H08	1,34	1,34
M01,D22,H09	14,80	14,80
M01,D22,H10	22,20	22,20
M01,D22,H11	27,00	27,00
M01,D22,H12	28,10	28,10
M01,D22,H13	25,40	25,40
M01,D22,H14	19,40	19,40
M01,D22,H15	11,50	11,50
M01,D22,H16	0,33	0,33
M01,D22,H17	0,01	0,01
M01,D22,H18	0,01	0,01
M01,D22,H19	0,01	0,01
M01,D22,H20	0,01	0,01
M01,D22,H21	0,01	0,01
M01,D22,H22	0,01	0,01
M01,D22,H23	0,01	0,01
M01,D22,H24	0,01	0,01
M01,D23,H01	0,01	0,01
M01,D23,H02	0,01	0,01
M01,D23,H03	0,01	0,01
M01,D23,H04	0,01	0,01
M01,D23,H05	0,01	0,01
M01,D23,H06	0,01	0,01
M01,D23,H07	0,01	0,01
M01,D23,H08	1,43	1,43
M01,D23,H09	19,50	19,50
M01,D23,H10	28,50	28,50
M01,D23,H11	34,20	34,20
M01,D23,H12	35,60	35,60
M01,D23,H13	32,40	32,40
M01,D23,H14	25,20	25,20
M01,D23,H15	15,50	15,50
M01,D23,H16	0,39	0,39
M01,D23,H17	0,01	0,01
M01,D23,H18	0,01	0,01
M01,D23,H19	0,01	0,01
M01,D23,H20	0,01	0,01
M01,D23,H21	0,01	0,01
M01,D23,H22	0,01	0,01
M01,D23,H23	0,01	0,01
M01,D23,H24	0,01	0,01
M01,D24,H01	0,01	0,01
M01,D24,H02	0,01	0,01
M01,D24,H03	0,01	0,01
M01,D24,H04	0,01	0,01
M01,D24,H05	0,01	0,01
M01,D24,H06	0,01	0,01
M01,D24,H07	0,01	0,01
M01,D24,H08	1,27	1,27
M01,D24,H09	6,44	6,44
M01,D24,H10	10,70	10,70
M01,D24,H11	13,60	13,60
M01,D24,H12	14,20	14,20
M01,D24,H13	12,70	12,70
M01,D24,H14	9,13	9,13
M01,D24,H15	4,57	4,57
M01,D24,H16	0,38	0,38
M01,D24,H17	0,01	0,01
M01,D24,H18	0,01	0,01
M01,D24,H19	0,01	0,01
M01,D24,H20	0,01	0,01
M01,D24,H21	0,01	0,01
M01,D24,H22	0,01	0,01
M01,D24,H23	0,01	0,01
M01,D24,H24	0,01	0,01
M01,D25,H01	0,01	0,01
M01,D25,H02	0,01	0,01
M01,D25,H03	0,01	0,01
M01,D25,H04	0,01	0,01
M01,D25,H05	0,01	0,01
M01,D25,H06	0,01	0,01
M01,D25,H07	0,01	0,01
M01,D25,H08	1,56	1,56
M01,D25,H09	21,50	21,50
M01,D25,H10	31,00	31,00
M01,D25,H11	37,10	37,10
M01,D25,H12	38,50	38,50
M01,D25,H13	35,10	35,10
M01,D25,H14	27,50	27,50
M01,D25,H15	17,10	17,10
M01,D25,H16	0,51	0,51
M01,D25,H17	0,01	0,01
M01,D25,H18	0,01	0,01
M01,D25,H19	0,01	0,01
M01,D25,H20	0,01	0,01
M01,D25,H21	0,01	0,01
M01,D25,H22	0,01	0,01
M01,D25,H23	0,01	0,01
M01,D25,H24	0,01	0,01
M01,D26,H01	0,01	0,01
M01,D26,H02	0,01	0,01
M01,D26,H03	0,01	0,01
M01,D26,H04	0,01	0,01
M01,D26,H05	0,01	0,01
M01,D26,H06	0,01	0,01
M01,D26,H07	0,01	0,01
M01,D26,H08	1,64	1,64
M01,D26,H09	18,70	18,70
M01,D26,H10	27,30	27,30
M01,D26,H11	32,80	32,80
M01,D26,H12	34,20	34,20
M01,D26,H13	31,10	31,10
M01,D26,H14	24,10	24,10
M01,D26,H15	14,80	14,80
M01,D26,H16	0,58	0,58
M01,D26,H17	0,01	0,01
M01,D26,H18	0,01	0,01
M01,D26,H19	0,01	0,01
M01,D26,H20	0,01	0,01
M01,D26,H21	0,01	0,01
M01,D26,H22	0,01	0,01
M01,D26,H23	0,01	0,01
M01,D26,H24	0,01	0,01
M01,D27,H01	0,01	0,01
M01,D27,H02	0,01	0,01
M01,D27,H03	0,01	0,01
M01,D27,H04	0,01	0,01
M01,D27,H05	0,01	0,01
M01,D27,H06	0,01	0,01
M01,D27,H07	0,01	0,01
M01,D27,H08	5,86	5,86
M01,D27,H09	13,30	13,30
M01,D27,H10	20,00	20,00
M01,D27,H11	24,30	24,30
M01,D27,H12	25,40	25,40
M01,D27,H13	23,00	23,00
M01,D27,H14	17,50	17,50
M01,D27,H15	10,30	10,30
M01,D27,H16	0,62	0,62
M01,D27,H17	0,01	0,01
M01,D27,H18	0,01	0,01
M01,D27,H19	0,01	0,01
M01,D27,H20	0,01	0,01
M01,D27,H21	0,01	0,01
M01,D27,H22	0,01	0,01
M01,D27,H23	0,01	0,01
M01,D27,H24	0,01	0,01
M01,D28,H01	0,01	0,01
M01,D28,H02	0,01	0,01
M01,D28,H03	0,01	0,01
M01,D28,H04	0,01	0,01
M01,D28,H05	0,01	0,01
M01,D28,H06	0,01	0,01
M01,D28,H07	0,01	0,01
M01,D28,H08	15,00	15,00
M01,D28,H09	28,20	28,20
M01,D28,H10	39,60	39,60
M01,D28,H11	46,90	46,90
M01,D28,H12	48,60	48,60
M01,D28,H13	44,60	44,60
M01,D28,H14	35,50	35,50
M01,D28,H15	23,00	23,00
M01,D28,H16	0,69	0,69
M01,D28,H17	0,01	0,01
M01,D28,H18	0,01	0,01
M01,D28,H19	0,01	0,01
M01,D28,H20	0,01	0,01
M01,D28,H21	0,01	0,01
M01,D28,H22	0,01	0,01
M01,D28,H23	0,01	0,01
M01,D28,H24	0,01	0,01
M01,D29,H01	0,01	0,01
M01,D29,H02	0,01	0,01
M01,D29,H03	0,01	0,01
M01,D29,H04	0,01	0,01
M01,D29,H05	0,01	0,01
M01,D29,H06	0,01	0,01
M01,D29,H07	0,01	0,01
M01,D29,H08	14,80	14,80
M01,D29,H09	27,80	27,80
M01,D29,H10	39,10	39,10
M01,D29,H11	46,20	46,20
M01,D29,H12	47,90	47,90
M01,D29,H13	43,90	43,90
M01,D29,H14	34,90	34,90
M01,D29,H15	22,60	22,60
M01,D29,H16	0,76	0,76
M01,D29,H17	0,01	0,01
M01,D29,H18	0,01	0,01
M01,D29,H19	0,01	0,01
M01,D29,H20	0,01	0,01
M01,D29,H21	0,01	0,01
M01,D29,H22	0,01	0,01
M01,D29,H23	0,01	0,01
M01,D29,H24	0,01	0,01
M01,D30,H01	0,01	0,01
M01,D30,H02	0,01	0,01
M01,D30,H03	0,01	0,01
M01,D30,H04	0,01	0,01
M01,D30,H05	0,01	0,01
M01,D30,H06	0,01	0,01
M01,D30,H07	0,01	0,01
M01,D30,H08	4,92	4,92
M01,D30,H09	11,50	11,50
M01,D30,H10	17,40	17,40
M01,D30,H11	21,30	21,30
M01,D30,H12	22,20	22,20
M01,D30,H13	20,10	20,10
M01,D30,H14	15,20	15,20
M01,D30,H15	8,85	8,85
M01,D30,H16	0,79	0,79
M01,D30,H17	0,01	0,01
M01,D30,H18	0,01	0,01
M01,D30,H19	0,01	0,01
M01,D30,H20	0,01	0,01
M01,D30,H21	0,01	0,01
M01,D30,H22	0,01	0,01
M01,D30,H23	0,01	0,01
M01,D30,H24	0,01	0,01
M01,D31,H01	0,01	0,01
M01,D31,H02	0,01	0,01
M01,D31,H03	0,01	0,01
M01,D31,H04	0,01	0,01
M01,D31,H05	0,01	0,01
M01,D31,H06	0,01	0,01
M01,D31,H07	0,01	0,01
M01,D31,H08	4,28	4,28
M01,D31,H09	10,40	10,40
M01,D31,H10	15,90	15,90
M01,D31,H11	19,40	19,40
M01,D31,H12	20,30	20,30
M01,D31,H13	18,30	18,30
M01,D31,H14	13,80	13,80
M01,D31,H15	7,90	7,90
M01,D31,H16	0,84	0,84
M01,D31,H17	0,01	0,01
M01,D31,H18	0,01	0,01
M01,D31,H19	0,01	0,01
M01,D31,H20	0,01	0,01
M01,D31,H21	0,01	0,01
M01,D31,H22	0,01	0,01
M01,D31,H23	0,01	0,01
M01,D31,H24	0,01	0,01
M02,D01,H01	0,01	0,01
M02,D01,H02	0,01	0,01
M02,D01,H03	0,01	0,01
M02,D01,H04	0,01	0,01
M02,D01,H05	0,01	0,01
M02,D01,H06	0,01	0,01
M02,D01,H07	0,01	0,01
M02,D01,H08	7,68	7,68
M02,D01,H09	15,90	15,90
M02,D01,H10	23,30	23,30
M02,D01,H11	28,00	28,00
M02,D01,H12	29,10	29,10
M02,D01,H13	26,50	26,50
M02,D01,H14	20,60	20,60
M02,D01,H15	12,60	12,60
M02,D01,H16	0,95	0,95
M02,D01,H17	0,01	0,01
M02,D01,H18	0,01	0,01
M02,D01,H19	0,01	0,01
M02,D01,H20	0,01	0,01
M02,D01,H21	0,01	0,01
M02,D01,H22	0,01	0,01
M02,D01,H23	0,01	0,01
M02,D01,H24	0,01	0,01
M02,D02,H01	0,01	0,01
M02,D02,H02	0,01	0,01
M02,D02,H03	0,01	0,01
M02,D02,H04	0,01	0,01
M02,D02,H05	0,01	0,01
M02,D02,H06	0,01	0,01
M02,D02,H07	0,01	0,01
M02,D02,H08	3,00	3,00
M02,D02,H09	8,01	8,01
M02,D02,H10	12,60	12,60
M02,D02,H11	15,60	15,60
M02,D02,H12	16,30	16,30
M02,D02,H13	14,70	14,70
M02,D02,H14	10,90	10,90
M02,D02,H15	5,98	5,98
M02,D02,H16	0,93	0,93
M02,D02,H17	0,01	0,01
M02,D02,H18	0,01	0,01
M02,D02,H19	0,01	0,01
M02,D02,H20	0,01	0,01
M02,D02,H21	0,01	0,01
M02,D02,H22	0,01	0,01
M02,D02,H23	0,01	0,01
M02,D02,H24	0,01	0,01
M02,D03,H01	0,01	0,01
M02,D03,H02	0,01	0,01
M02,D03,H03	0,01	0,01
M02,D03,H04	0,01	0,01
M02,D03,H05	0,01	0,01
M02,D03,H06	0,01	0,01
M02,D03,H07	0,01	0,01
M02,D03,H08	5,73	5,73
M02,D03,H09	12,60	12,60
M02,D03,H10	18,70	18,70
M02,D03,H11	22,60	22,60
M02,D03,H12	23,50	23,50
M02,D03,H13	21,30	21,30
M02,D03,H14	16,40	16,40
M02,D03,H15	9,82	9,82
M02,D03,H16	1,06	1,06
M02,D03,H17	0,01	0,01
M02,D03,H18	0,01	0,01
M02,D03,H19	0,01	0,01
M02,D03,H20	0,01	0,01
M02,D03,H21	0,01	0,01
M02,D03,H22	0,01	0,01
M02,D03,H23	0,01	0,01
M02,D03,H24	0,01	0,01
M02,D04,H01	0,01	0,01
M02,D04,H02	0,01	0,01
M02,D04,H03	0,01	0,01
M02,D04,H04	0,01	0,01
